Date,Open,High,Low,Vol.,Change %,Price
11/2/2023,1992.00,1999.20,1986.30,158.65K,0.30%,1993.5
11/1/2023,1993.30,2005.90,1978.20,197.63K,-0.34%,1987.5
10/31/2023,2005.60,2017.70,1987.40,214.78K,-0.56%,1994.3
10/30/2023,2013.50,2016.80,1999.70,181.34K,0.83%,2005.6
10/27/2023,1987.50,2009.80,1978.50,0.37K,0.06%,1989
10/26/2023,1981.60,1992.50,1974.40,0.20K,0.12%,1987.9
10/25/2023,1972.00,1988.80,1971.00,0.16K,0.44%,1985.5
10/24/2023,1975.10,1980.30,1958.30,1.23K,-0.07%,1976.8
10/23/2023,1977.90,1983.10,1963.60,0.45K,-0.81%,1978.2
10/20/2023,1988.00,2009.20,1983.70,,0.70%,1994.4
10/19/2023,1960.10,1990.20,1957.00,264.82K,0.62%,1980.5
10/18/2023,1936.70,1975.80,1935.90,270.05K,1.68%,1968.3
10/17/2023,1933.30,1944.50,1924.60,165.06K,0.07%,1935.7
10/16/2023,1941.30,1943.00,1921.20,182.82K,-0.37%,1934.3
10/13/2023,1881.70,1946.20,1881.50,312.99K,3.11%,1941.5
10/12/2023,1888.10,1898.30,1880.60,163.48K,-0.23%,1883
10/11/2023,1873.70,1890.90,1871.70,169.96K,0.64%,1887.3
10/10/2023,1875.40,1879.10,1866.10,157.34K,0.59%,1875.3
10/9/2023,1861.00,1877.30,1857.50,187.80K,1.04%,1864.3
10/6/2023,1834.30,1849.00,1823.50,231.02K,0.73%,1845.2
10/5/2023,1837.60,1843.50,1826.20,172.46K,-0.16%,1831.8
10/4/2023,1838.70,1846.80,1831.60,195.05K,-0.36%,1834.8
10/3/2023,1844.90,1849.30,1830.90,216.78K,-0.31%,1841.5
10/2/2023,1864.40,1864.70,1842.70,202.15K,-1.01%,1847.2
9/29/2023,1882.30,1896.70,1862.30,245.13K,-0.67%,1866.1
9/28/2023,1893.30,1896.80,1874.50,231.42K,-0.65%,1878.6
9/27/2023,1918.80,1921.70,1890.30,238.53K,-1.51%,1890.9
9/26/2023,1935.10,1935.50,1917.20,212.26K,-0.87%,1919.8
9/25/2023,1944.70,1946.80,1933.80,164.26K,-0.46%,1936.6
9/22/2023,1939.60,1949.10,1939.60,139.93K,0.31%,1945.6
9/21/2023,1952.00,1952.20,1933.10,225.91K,-1.40%,1939.6
9/20/2023,1953.00,1968.90,1948.60,220.98K,0.69%,1967.1
9/19/2023,1955.30,1958.90,1950.90,131.10K,0.02%,1953.7
9/18/2023,1945.70,1955.70,1943.80,138.03K,0.37%,1953.4
9/15/2023,1932.50,1952.40,1931.20,199.77K,0.69%,1946.2
9/14/2023,1930.70,1934.50,1921.70,201.74K,0.02%,1932.8
9/13/2023,1935.20,1938.40,1927.20,161.00K,-0.13%,1932.5
9/12/2023,1945.60,1947.50,1929.90,161.99K,-0.62%,1935.1
9/11/2023,1943.30,1954.60,1939.50,131.08K,0.23%,1947.2
9/8/2023,1943.80,1954.00,1940.80,138.69K,0.01%,1942.7
9/7/2023,1942.20,1947.90,1940.30,117.17K,-0.09%,1942.5
9/6/2023,1951.50,1954.50,1940.00,148.78K,-0.43%,1944.2
9/5/2023,1966.70,1972.60,1950.60,192.79K,-0.54%,1952.6
9/4/2023,1966.60,1972.55,1962.55,,-0.17%,1963.25
9/3/2023,1966.40,1967.05,1965.50,,-0.02%,1966.65
9/1/2023,1966.40,1980.20,1960.70,160.73K,0.06%,1967.1
8/31/2023,1970.20,1974.90,1965.50,133.71K,-0.36%,1965.9
8/30/2023,1966.00,1977.10,1962.80,142.38K,0.40%,1973
8/29/2023,1948.10,1966.50,1941.70,174.22K,0.94%,1965.1
8/28/2023,1944.00,1954.20,1940.10,115.55K,0.36%,1946.8
8/25/2023,1944.90,1950.40,1931.00,166.99K,-0.37%,1939.9
8/24/2023,1944.90,1951.30,1939.20,137.39K,-0.05%,1947.1
8/23/2023,1926.80,1949.70,1926.20,170.04K,1.15%,1948.1
8/22/2023,1924.00,1933.20,1917.50,131.09K,0.16%,1926
8/21/2023,1918.40,1927.90,1913.60,138.11K,0.34%,1923
8/18/2023,1919.20,1926.00,1915.90,114.74K,0.07%,1916.5
8/17/2023,1922.40,1933.50,1914.20,152.33K,-0.68%,1915.2
8/16/2023,1933.10,1938.20,1922.00,128.61K,-0.36%,1928.3
8/15/2023,1939.40,1944.30,1927.50,167.15K,-0.45%,1935.2
8/14/2023,1945.60,1948.20,1934.20,120.98K,-0.13%,1944
8/11/2023,1944.90,1953.60,1942.70,122.32K,-0.12%,1946.6
